Strain,Completeness_Score,Average_Coverage_%,Total_ECs,Fully_Found,Partially_Found,Not_Found,Total_Hits,Unique_Proteins,Fully_Found_%
GCA_036630115.1_IITB5_GCA_036630115.1_IITB5,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
GCF_036630065.1_IITB3_GCF_036630065.1_IITB3,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
IITB5_GCF_036630115.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
GCF_036630075.1_IITB4_GCF_036630075.1_IITB4,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
GCF_036630095.1_IITB7_GCF_036630095.1_IITB7,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
GCF_036630115.1_IITB5_GCF_036630115.1_IITB5,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
UTEX_2973_GCF_000817325.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
UTEX_2434_GCF_030544905.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
IITB3_GCF_036630065.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
FACHB-805_GCF_014698905.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
IITB4_GCF_036630075.1,45.83333333333333,45.83333333333333,12,4,3,5,7,7,33.33333333333333
MU1412_GCF_019324925.1,41.66666666666667,41.66666666666667,12,3,4,5,7,7,25.0
MU1411_GCF_019324985.1,41.66666666666667,41.66666666666667,12,3,4,5,7,7,25.0
XMU1411_GCF_017696075.1,41.66666666666667,41.66666666666667,12,3,4,5,7,7,25.0
XMU1412_GCF_017696315.1,41.66666666666667,41.66666666666667,12,3,4,5,7,7,25.0
AS9601_GCF_000015645.1,41.66666666666667,41.66666666666667,12,3,4,5,7,7,25.0
MIT_0918_GCF_027359415.1,41.66666666666667,41.66666666666667,12,3,4,5,7,7,25.0
EQPAC1_GCF_000759875.1,41.66666666666667,41.66666666666667,12,3,4,5,7,7,25.0
MED4_GCF_000011465.1,41.66666666666667,41.66666666666667,12,3,4,5,7,7,25.0
MED4x_substr._MED4x_GCF_047497115.1,41.66666666666667,41.66666666666667,12,3,4,5,7,7,25.0
MED4ax_substr._MED4ax_GCF_047497125.1,41.66666666666667,41.66666666666667,12,3,4,5,7,7,25.0
MIT_9202_GCF_000158595.1,37.5,37.5,12,3,3,6,6,6,25.0
MU1402_GCF_019325055.1,37.5,37.5,12,2,5,5,7,7,16.666666666666664
XMU1402_GCF_017696205.1,37.5,37.5,12,2,5,5,7,7,16.666666666666664
MIT_9215_GCF_000018065.1,37.5,37.5,12,3,3,6,6,6,25.0
MIT_1312_GCF_001632005.1,37.5,37.5,12,3,3,6,6,6,25.0
MU1416_GCF_019324835.1,37.5,37.5,12,3,3,6,6,6,25.0
CUG1416_GCF_017695965.1,37.5,37.5,12,3,3,6,6,6,25.0
MIT_1327_GCF_001632125.1,37.5,37.5,12,3,3,6,6,6,25.0
LG_GCF_047302905.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
SS51_GCF_000760355.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
SB_GCF_000760115.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
SB_GCF_047305225.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
SS2_GCF_000760255.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MIT9313_GCF_000011485.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
SS2_GCF_047302765.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
SS35_GCF_000760275.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
SS35_GCF_047304605.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
GP2_GCF_047302875.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
SS51_GCF_047302855.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
LG_GCF_000760155.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MIT_1323_GCF_001632025.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
GP2_GCF_000759885.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
XMU1401E_GCF_019325115.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
XMU1401_GCF_002812945.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
XMU1401_GCF_017696245.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
XMU1404_GCF_017696175.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
XMU1405_GCF_017696275.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
XMU1406_GCF_017696055.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
XMU1410_GCF_017696085.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
CUG1417_GCF_017695975.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
CUG1415_GCF_017696015.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
XMU1419_GCF_017695955.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MIT_0913_GCF_027359525.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
XMU1419_GCF_019325105.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MIT_9314_GCF_000760035.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MU1405_GCF_019325005.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MIT_9201_GCF_047305125.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
CCMP1375;_SS120_GCF_000007925.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MIT_0919_GCF_027359375.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MIT_9311_GCF_000760015.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MIT_9312_GCF_000012645.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MIT_9201_GCF_000759955.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MIT_9321_GCF_000760055.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MIT_9322_GCF_000760075.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MIT_9401_GCF_000760095.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MU1404_GCF_019325015.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MU1406_GCF_019324945.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MU1410_GCF_019324955.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MU1415_GCF_019324885.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MU1417_GCF_019324845.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
MIT_1342_GCF_001632145.1,33.33333333333333,33.33333333333333,12,2,4,6,6,6,16.666666666666664
XMU1403_GCF_003208065.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
XMU1408_GCF_019325045.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
XMU1408_GCF_003208055.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
MIT_9123_GCF_000759935.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
MIT_9116_GCF_000759865.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
MIT_9107_GCF_047302795.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
MIT_9107_GCF_000759855.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
MIT_1214_GCF_027359355.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
PAC1_GCF_047304675.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
MIT_1013_GCF_027359395.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
MIT_1012_GCF_047302745.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
NATL2A_GCF_000012465.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
MU1403_GCF_019325065.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
SCGC_AAA795-F05_GCF_001180245.1,29.166666666666668,29.166666666666668,12,1,5,6,6,6,8.333333333333332
MIT_0917_GCF_027359575.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
MIT_0915_GCF_027359475.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
NATL1A_GCF_000015685.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
MIT_0912_GCF_027359595.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
PAC1_GCF_000760235.1,29.166666666666668,29.166666666666668,12,2,3,7,5,5,16.666666666666664
MIT_9515_GCF_000015665.1,25.0,25.0,12,1,4,7,5,5,8.333333333333332
