target,EC_number,Protein_Name,Pfam_ID,UniProt_ID,Species,query_hmm,evalue,score
WP_044521124.1,1.2.7.3,2-oxoglutarate oxidoreductase subunit KorB,PF02775,O53181,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),TPP_enzyme_C,9.32e-09,33.7
WP_010997121.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,8.47e-115,382.6
WP_044522801.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,1.53e-93,312.6
WP_010997121.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF02910,P00363,Escherichia coli (strain K12),Succ_DH_flav_C,3.3e-47,158.1
WP_044522801.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF02910,P00363,Escherichia coli (strain K12),Succ_DH_flav_C,1.27e-14,52.7
WP_010996936.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,6.82e-11,40.4
WP_010995956.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,1.3e-10,39.5
WP_010997669.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,3.06e-09,34.9
WP_044522219.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,6.98e-09,33.8
WP_010997831.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,8.94e-09,33.4
WP_010996538.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,1.93e-08,32.3
WP_010996225.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,4.17e-08,31.2
WP_010999249.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,5.51e-08,30.8
WP_044522332.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,5.43e-07,27.5
WP_010996927.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,6.67e-07,27.2
WP_010995382.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,8.6e-07,26.9
WP_044520713.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,1.9e-06,25.7
WP_010996489.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,2.3e-06,25.5
WP_010999808.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,2.84e-06,25.2
WP_010997885.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,4.19e-06,24.6
WP_010998643.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,5.51e-06,24.2
WP_044522263.1,1.3.5.1,Fumarate reductase flavoprotein subunit,PF00890,P00363,Escherichia coli (strain K12),FAD_binding_2,7.23e-06,23.8
WP_010999094.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,2.15e-66,222.7
WP_010998876.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,1.7e-64,216.5
WP_010999309.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,9.52e-64,214.0
WP_010995300.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,9.17e-55,184.5
WP_044520713.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,6.2e-53,178.5
WP_010996362.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,2.74e-50,169.8
WP_010995722.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,3.79e-50,169.4
WP_010995299.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,1.97e-49,167.0
WP_010997115.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,4.12e-48,162.7
WP_010998078.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,7.34e-46,155.3
WP_010998234.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,8.92e-45,151.7
WP_010999335.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,2.53e-38,130.6
WP_010999094.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF02852,P0A9P0,Escherichia coli (strain K12),Pyr_redox_dim,3.2e-36,122.3
WP_010998876.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF02852,P0A9P0,Escherichia coli (strain K12),Pyr_redox_dim,2.08e-32,110.0
WP_010997458.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,6.16e-27,93.2
WP_010999309.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF02852,P0A9P0,Escherichia coli (strain K12),Pyr_redox_dim,7.79e-26,88.9
WP_010998643.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,2.3e-19,68.3
WP_010998078.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF02852,P0A9P0,Escherichia coli (strain K12),Pyr_redox_dim,4.84e-19,67.0
WP_010998645.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,4.8e-16,57.4
WP_010998855.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,4.6e-13,47.6
WP_010997831.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,1.08e-10,39.9
WP_044522219.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,5.01e-10,37.7
WP_010995956.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,2.29e-09,35.5
WP_010998412.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,6.51e-09,34.0
WP_010997669.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,7.81e-08,30.5
WP_010999808.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,1.23e-07,29.8
WP_010994305.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,1.37e-07,29.7
WP_010996936.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,2.5e-07,28.8
WP_010996538.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,3.11e-07,28.5
WP_010995382.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,3.53e-07,28.3
WP_044523614.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,6.91e-07,27.4
WP_010996225.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,1.19e-06,26.6
WP_010994568.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,1.19e-06,26.6
WP_010996489.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,2.13e-06,25.8
WP_010995526.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,3.1e-06,25.2
WP_044522801.1,1.8.1.4,Dihydrolipoyl dehydrogenase,PF07992,P0A9P0,Escherichia coli (strain K12),Pyr_redox_2,4.32e-06,24.8
WP_010997755.1,2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,PF00198,P0AFG6,Escherichia coli (strain K12),2-oxoacid_dh,3.45e-62,208.3
WP_010999183.1,2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,PF00364,P0AFG6,Escherichia coli (strain K12),Biotin_lipoyl,9.12e-26,87.9
WP_010997755.1,2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,PF00364,P0AFG6,Escherichia coli (strain K12),Biotin_lipoyl,1.14e-16,58.8
WP_010997755.1,2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,PF02817,P0AFG6,Escherichia coli (strain K12),E3_binding,2.01e-15,55.1
WP_010999864.1,2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,PF00364,P0AFG6,Escherichia coli (strain K12),Biotin_lipoyl,1.91e-08,32.5
WP_010996092.1,2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,PF00364,P0AFG6,Escherichia coli (strain K12),Biotin_lipoyl,2.04e-07,29.2
WP_010998378.1,2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,PF00364,P0AFG6,Escherichia coli (strain K12),Biotin_lipoyl,2.86e-07,28.7
WP_044521187.1,2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,PF00364,P0AFG6,Escherichia coli (strain K12),Biotin_lipoyl,3.07e-07,28.6
WP_010997791.1,2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,PF00364,P0AFG6,Escherichia coli (strain K12),Biotin_lipoyl,5.42e-07,27.8
WP_010998418.1,2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,PF00364,P0AFG6,Escherichia coli (strain K12),Biotin_lipoyl,1.52e-06,26.4
WP_010997853.1,2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,PF00364,P0AFG6,Escherichia coli (strain K12),Biotin_lipoyl,1.79e-06,26.1
WP_010999850.1,2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,PF00364,P0AFG6,Escherichia coli (strain K12),Biotin_lipoyl,2.91e-06,25.5
WP_010999428.1,2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,PF00364,P0AFG6,Escherichia coli (strain K12),Biotin_lipoyl,5.98e-06,24.5
WP_044523038.1,2.3.1.61,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,PF00364,P0AFG6,Escherichia coli (strain K12),Biotin_lipoyl,9.29e-06,23.8
WP_010994399.1,2.3.3.1,Unknown,PF00285,A0A418L5M9,Mycobacteroides abscessus,Citrate_synt,2.59e-144,479.1
WP_010998968.1,2.3.3.3,Citrate (Re)-synthase,PF00682,Q2LTE1,Syntrophus aciditrophicus (strain SB),HMGL-like,4.54e-105,349.1
WP_010997119.1,2.3.3.3,Citrate (Re)-synthase,PF00682,Q2LTE1,Syntrophus aciditrophicus (strain SB),HMGL-like,2.82e-79,264.6
WP_010995579.1,2.3.3.3,Citrate (Re)-synthase,PF00682,Q2LTE1,Syntrophus aciditrophicus (strain SB),HMGL-like,3.1e-78,261.2
WP_010997672.1,2.3.3.3,Citrate (Re)-synthase,PF00682,Q2LTE1,Syntrophus aciditrophicus (strain SB),HMGL-like,7.97e-46,154.9
WP_126987344.1,2.3.3.3,Citrate (Re)-synthase,PF22673,Q2LTE1,Syntrophus aciditrophicus (strain SB),MCP-like_PDC_1,6.84e-14,50.7
WP_044520690.1,2.3.3.3,Citrate (Re)-synthase,PF22673,Q2LTE1,Syntrophus aciditrophicus (strain SB),MCP-like_PDC_1,6.83e-11,41.0
WP_010994399.1,2.3.3.5,2-methylcitrate synthase,PF00285,P31660,Escherichia coli (strain K12),Citrate_synt,2.59e-144,479.1
WP_010997867.1,4.2.1.2,Fumarate hydratase class II,PF00206,P05042,Escherichia coli (strain K12),Lyase_1,5.93e-91,303.5
WP_010998028.1,4.2.1.2,Fumarate hydratase class II,PF00206,P05042,Escherichia coli (strain K12),Lyase_1,6.18e-75,250.9
WP_010997545.1,4.2.1.2,Fumarate hydratase class II,PF00206,P05042,Escherichia coli (strain K12),Lyase_1,1.32e-60,203.8
WP_010997867.1,4.2.1.2,Fumarate hydratase class II,PF10415,P05042,Escherichia coli (strain K12),FumaraseC_C,2.91e-22,77.3
WP_010995589.1,4.2.1.3,Aconitate hydratase A,PF00330,P25516,Escherichia coli (strain K12),Aconitase,6.51e-169,561.2
WP_010995439.1,4.2.1.3,Aconitate hydratase A,PF00330,P25516,Escherichia coli (strain K12),Aconitase,2.31e-41,140.6
WP_010995588.1,4.2.1.3,Aconitate hydratase A,PF00694,P25516,Escherichia coli (strain K12),Aconitase_C,6.15e-19,67.1
WP_010998055.1,6.2.1.4,Succinate--CoA ligase [GDP-forming] subunit beta,PF08442,P25126,Thermus thermophilus,ATP-grasp_2,1.77e-30,104.5
WP_010998054.1,6.2.1.4,Succinate--CoA ligase [GDP-forming] subunit beta,PF00549,P25126,Thermus thermophilus,Ligase_CoA,2.33e-12,45.6
WP_010994943.1,6.2.1.4,Succinate--CoA ligase [GDP-forming] subunit beta,PF08442,P25126,Thermus thermophilus,ATP-grasp_2,6.9e-07,27.5
WP_010997950.1,6.2.1.4,Succinate--CoA ligase [GDP-forming] subunit beta,PF08442,P25126,Thermus thermophilus,ATP-grasp_2,4.05e-06,25.0
WP_010998055.1,6.2.1.5,Succinate--CoA ligase [ADP-forming] subunit beta,PF08442,P0A836,Escherichia coli (strain K12),ATP-grasp_2,1.77e-30,104.5
WP_010998054.1,6.2.1.5,Succinate--CoA ligase [ADP-forming] subunit beta,PF00549,P0A836,Escherichia coli (strain K12),Ligase_CoA,2.33e-12,45.6
WP_010994943.1,6.2.1.5,Succinate--CoA ligase [ADP-forming] subunit beta,PF08442,P0A836,Escherichia coli (strain K12),ATP-grasp_2,6.9e-07,27.5
WP_010997950.1,6.2.1.5,Succinate--CoA ligase [ADP-forming] subunit beta,PF08442,P0A836,Escherichia coli (strain K12),ATP-grasp_2,4.05e-06,25.0
